Date of Demolition,Locality,District,Area,Housing Units,People left Homeless,Minors left Homeless,Type Of Structure
8/5/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,2,0,Residential
7/29/04,Beit Liqya,Ramallah and al-Bira,west-bank,1,8,0,Residential
7/29/04,Beit Liqya,Ramallah and al-Bira,west-bank,1,2,0,Residential
7/25/04,Salfit,Salfit,west-bank,1,1,0,Residential
7/20/04,a-Shati' R.C.,Gaza,gaza-strip,1,15,0,Residential
7/14/04,Ramallah,Ramallah and al-Bira,west-bank,1,19,0,Residential
7/13/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,8,0,Residential
7/12/04,Kfar Dan,Jenin,west-bank,1,6,0,Residential
7/12/04,Kfar Dan,Jenin,west-bank,1,3,0,Residential
7/12/04,Qabatiyah,Jenin,west-bank,1,10,0,Residential
7/12/04,Qabatiyah,Jenin,west-bank,1,3,0,Residential
7/12/04,Qabatiyah,Jenin,west-bank,1,0,0,Residential
7/12/04,Qabatiyah,Jenin,west-bank,1,0,0,Residential
7/8/04,Ya'bad,Jenin,west-bank,1,7,0,Residential
7/8/04,Beit Furik,Nablus,west-bank,1,5,0,Residential
7/5/04,Tell,Nablus,west-bank,1,8,0,Residential
7/1/04,Jericho,Jericho,west-bank,1,2,0,Residential
6/25/04,Bethlehem,Bethlehem,west-bank,1,7,0,Residential
6/25/04,Bethlehem,Bethlehem,west-bank,1,5,0,Residential
6/25/04,Bethlehem,Bethlehem,west-bank,1,4,0,Residential
6/18/04,al-Qararah,Khan Yunis,gaza-strip,1,2,0,Residential
6/18/04,al-Qararah,Khan Yunis,gaza-strip,1,8,0,Residential
6/16/04,Deir al-Balah,Deir al-Balah,gaza-strip,1,6,0,Residential
6/16/04,Deir al-Balah,Deir al-Balah,gaza-strip,2,13,0,Residential
6/15/04,Bethlehem,Bethlehem,west-bank,1,7,0,Residential
6/15/04,Bethlehem,Bethlehem,west-bank,1,3,0,Residential
6/15/04,Bethlehem,Bethlehem,west-bank,1,3,0,Residential
6/2/04,Tulkarm,Tulkarm,west-bank,1,8,0,Residential
5/31/04,Husan,Bethlehem,west-bank,1,0,0,Residential
5/31/04,Husan,Bethlehem,west-bank,1,9,0,Residential
5/27/04,Nablus,Nablus,west-bank,1,6,0,Residential
5/27/04,Nablus,Nablus,west-bank,1,7,0,Residential
5/19/04,Tall a-Sultan R.C.,Rafah,gaza-strip,1,3,0,Residential
5/19/04,Tall a-Sultan R.C.,Rafah,gaza-strip,1,11,0,Residential
5/14/04,al-Birah,Ramallah and al-Bira,west-bank,1,2,0,Residential
5/14/04,Ramallah,Ramallah and al-Bira,west-bank,1,8,0,Residential
4/29/04,Sarra,Nablus,west-bank,1,10,0,Residential
4/29/04,Sarra,Nablus,west-bank,1,0,0,Residential
4/29/04,Sarra,Nablus,west-bank,1,5,0,Residential
4/15/04,Rafidya,Nablus,west-bank,1,6,0,Residential
4/15/04,Bethlehem,Bethlehem,west-bank,1,4,0,Residential
4/15/04,Beit Jala,Bethlehem,west-bank,1,1,0,Residential
4/15/04,Beit Jala,Bethlehem,west-bank,1,4,0,Residential
4/15/04,Beit Jala,Bethlehem,west-bank,1,8,0,Residential
4/15/04,Shweikah,Tulkarm,west-bank,1,8,0,Residential
4/5/04,Deir a-Sudan,Ramallah and al-Bira,west-bank,1,3,0,Residential
4/5/04,Deir a-Sudan,Ramallah and al-Bira,west-bank,1,8,0,Residential
4/4/04,Tulkarm R.C.,Tulkarm,west-bank,1,1,0,Residential
4/4/04,Tulkarm R.C.,Tulkarm,west-bank,1,3,0,Residential
4/4/04,Tulkarm R.C.,Tulkarm,west-bank,1,4,0,Residential
4/4/04,Tulkarm R.C.,Tulkarm,west-bank,1,4,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,12,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,11,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,11,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,3,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,7,0,Residential
4/3/04,Rafah,Rafah,gaza-strip,1,8,0,Residential
3/28/04,Bidya,Salfit,west-bank,1,1,0,Residential
3/28/04,Bidya,Salfit,west-bank,1,10,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,0,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,0,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,8,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,3,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,2,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,10,0,Residential
3/21/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,4,0,Residential
3/19/04,Bethlehem,Bethlehem,west-bank,1,2,0,Residential
3/19/04,Bethlehem,Bethlehem,west-bank,1,2,0,Residential
3/19/04,Bethlehem,Bethlehem,west-bank,1,7,0,Residential
3/19/04,al-Mughraqa (Abu Midein),Gaza,gaza-strip,1,10,0,Residential
3/17/04,Tulkarm R.C.,Tulkarm,west-bank,1,8,0,Residential
3/17/04,Madama,Nablus,west-bank,1,13,0,Residential
3/17/04,Madama,Nablus,west-bank,1,1,0,Residential
3/16/04,Silwad,Ramallah and al-Bira,west-bank,1,3,0,Residential
3/11/04,al-Walajah,Bethlehem,west-bank,1,7,0,Residential
2/28/04,'Anzah,Jenin,west-bank,1,0,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,5,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,2,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,8,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,7,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,7,0,Residential
2/27/04,al-'Aza R.C.,Bethlehem,west-bank,1,5,0,Residential
2/27/04,'Aydah R.C.,Bethlehem,west-bank,1,9,0,Residential
2/27/04,'Aydah R.C.,Bethlehem,west-bank,1,5,0,Residential
2/23/04,Salfit,Salfit,west-bank,1,1,0,Residential
2/23/04,Salfit,Salfit,west-bank,1,5,0,Residential
2/22/04,Husan,Bethlehem,west-bank,1,10,0,Residential
2/19/04,Salfit,Salfit,west-bank,1,1,0,Residential
2/19/04,Salfit,Salfit,west-bank,1,4,0,Residential
2/19/04,Salfit,Salfit,west-bank,1,4,0,Residential
2/19/04,Silat al-Harithiya,Jenin,west-bank,1,5,0,Residential
2/18/04,Silat al-Harithiya,Jenin,west-bank,1,4,0,Residential
2/15/04,al-Yamun,Jenin,west-bank,1,9,0,Residential
2/15/04,al-Yamun,Jenin,west-bank,1,2,0,Residential
2/12/04,Deir al-Balah,Deir al-Balah,gaza-strip,1,5,0,Residential
2/11/04,Gaza City,Gaza,gaza-strip,1,7,0,Residential
2/11/04,Gaza City,Gaza,gaza-strip,1,6,0,Residential
2/11/04,Gaza City,Gaza,gaza-strip,1,3,0,Residential
2/6/04,Birqin,Jenin,west-bank,1,2,0,Residential
2/6/04,Birqin,Jenin,west-bank,1,5,0,Residential
2/1/04,Silwad,Ramallah and al-Bira,west-bank,1,6,0,Residential
2/1/04,Silwad,Ramallah and al-Bira,west-bank,1,0,0,Residential
2/1/04,Silwad,Ramallah and al-Bira,west-bank,1,5,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,0,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,0,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,0,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,3,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,4,0,Residential
1/30/04,Silwad,Ramallah and al-Bira,west-bank,1,3,0,Residential
1/30/04,Abu Shukheidim,Ramallah and al-Bira,west-bank,1,9,0,Residential
1/30/04,Abu Shukheidim,Ramallah and al-Bira,west-bank,1,5,0,Residential
1/30/04,Kobar,Ramallah and al-Bira,west-bank,1,5,0,Residential
1/30/04,Kobar,Ramallah and al-Bira,west-bank,1,3,0,Residential
1/30/04,'Aydah R.C.,Bethlehem,west-bank,1,8,0,Residential
1/30/04,'Aydah R.C.,Bethlehem,west-bank,1,1,0,Residential
1/30/04,'Aydah R.C.,Bethlehem,west-bank,1,0,0,Residential
1/18/04,Yatta,Hebron,west-bank,1,6,0,Residential
1/15/04,Tulkarm R.C.,Tulkarm,west-bank,1,7,0,Residential
1/15/04,Tulkarm R.C.,Tulkarm,west-bank,1,5,0,Residential
1/15/04,Tulkarm R.C.,Tulkarm,west-bank,1,6,0,Residential
